Date,Open,High,Low,Close,Volume,Adj Close
1/4/2016,NaN,34.349998,34,34.349998,31779500,33.873329
1/5/2016,34.349998,34.689999,34.119999,34.59,NaN,34.11
1/6/2016,NaN,34.209999,33.720001,NaN,26911800,34.060001
1/7/2016,NaN,NaN,33.509998,NaN,NaN,33.509998
1/8/2016,33.77,33.959999,33.41,NaN,28090800,NaN
1/11/2016,NaN,34.099998,33.529999,33.950001,26438800,33.950001
1/12/2016,34.099998,34.189999,33.66,33.900002,24124100,33.900002
1/13/2016,34.009998,NaN,33.73,33.740002,NaN,NaN
1/14/2016,NaN,34.549999,NaN,34.299999,36327400,NaN
1/15/2016,33.66,34.34,33.610001,33.990002,NaN,33.990002
1/19/2016,NaN,34.599998,NaN,34.509998,36699200,34.509998
1/20/2016,34.139999,NaN,33.43,33.900002,50247700,NaN
1/21/2016,33.990002,34.880001,33.790001,34.540001,40898900,34.540001
1/22/2016,NaN,35.18,NaN,NaN,32819200,35.139999
1/25/2016,35.189999,35.43,34.77,NaN,30121400,35
1/26/2016,35.029999,35.57,34.93,35.400002,NaN,NaN
1/27/2016,34.990002,35.799999,34.900002,35.48,NaN,35.48
1/28/2016,35.77,NaN,35.209999,NaN,26167400,NaN
1/29/2016,35.709999,36.060001,35.68,NaN,42829100,36.060001
2/1/2016,36.040001,36.400002,NaN,36.18,33324600,36.18
2/2/2016,36.139999,NaN,35.790001,36.060001,28882800,36.060001
2/3/2016,36.119999,NaN,35.900002,36.720001,37969800,36.720001
2/4/2016,36.73,36.82,NaN,36.529999,30630500,36.529999
2/5/2016,36.59,37.040001,NaN,36.880001,NaN,36.880001
2/8/2016,36.599998,37.119999,36.389999,37.110001,40753400,NaN
2/9/2016,NaN,36.880001,36.16,NaN,NaN,36.650002
2/10/2016,36.650002,NaN,36.259998,36.43,26869500,36.43
2/11/2016,NaN,36.349998,NaN,36.209999,42021700,NaN
2/12/2016,36.349998,36.509998,36.049999,36.470001,26338700,36.470001
2/16/2016,36.68,36.75,36.189999,36.650002,NaN,36.650002
2/17/2016,36.75,NaN,36.529999,36.639999,25911200,36.639999
2/18/2016,36.619999,37,36.509998,36.990002,21632700,36.990002
2/19/2016,36.900002,36.98,36.52,36.57,NaN,36.57
2/22/2016,36.740002,36.860001,NaN,36.860001,NaN,NaN
2/23/2016,36.810001,36.91,NaN,NaN,20317800,36.740002
2/24/2016,36.700001,37.110001,36.630001,37.099998,NaN,37.099998
2/25/2016,37.099998,37.5,NaN,37.369999,22768100,37.369999
2/26/2016,37.490002,37.490002,37.060001,NaN,22157900,37.130001
2/29/2016,37.119999,37.389999,36.950001,36.950001,28445900,36.950001
3/1/2016,37.099998,37.389999,37.060001,37.389999,NaN,37.389999
3/2/2016,NaN,NaN,37.110001,37.689999,21500200,37.689999
3/3/2016,37.689999,NaN,37.490002,37.990002,27506100,37.990002
3/4/2016,NaN,38.139999,NaN,37.93,NaN,37.93
